game_id,game_date,team,injury_off_impact,injury_def_impact,players_flagged,flagged_players,injury_total_impact
22500272,2025-11-22,MIL,0.0,0.0,0,,0.0
22500273,2025-11-22,DAL,0.0,0.0,0,,0.0
22500273,2025-11-22,MEM,0.0,0.0,0,,0.0
22500274,2025-11-22,DEN,0.0,0.0,0,,0.0
22500274,2025-11-22,SAC,0.0,0.0,0,,0.0
22500275,2025-11-23,MIA,0.0,0.0,0,,0.0
22500275,2025-11-23,PHI,0.0,0.0,0,,0.0
22500276,2025-11-23,ATL,0.0,0.0,0,,0.0
22500276,2025-11-23,CHA,0.0,0.0,0,,0.0
22500277,2025-11-23,BOS,0.0,0.0,0,,0.0
22500277,2025-11-23,ORL,0.0,0.0,0,,0.0
22500278,2025-11-23,CLE,0.0,0.0,0,,0.0
22500278,2025-11-23,LAC,0.0,0.0,0,,0.0
22500279,2025-11-23,BKN,0.0,0.0,0,,0.0
22500279,2025-11-23,TOR,0.0,0.0,0,,0.0
22500280,2025-11-23,OKC,0.0,0.0,0,,0.0
22500280,2025-11-23,POR,0.0,0.0,0,,0.0
22500281,2025-11-23,PHX,0.0,0.0,0,,0.0
22500281,2025-11-23,SAS,0.0,0.0,0,,0.0
22500282,2025-11-23,LAL,0.0,0.0,0,,0.0
22500282,2025-11-23,UTA,0.0,0.0,0,,0.0
22500283,2025-11-24,DET,0.0,0.0,0,,0.0
22500283,2025-11-24,IND,0.0,0.0,0,,0.0
22500284,2025-11-24,CLE,0.0,0.0,0,,0.0
22500284,2025-11-24,TOR,0.0,0.0,0,,0.0
22500285,2025-11-24,BKN,0.0,0.0,0,,0.0
22500285,2025-11-24,NYK,0.0,0.0,0,,0.0
22500286,2025-11-24,DAL,0.0,0.0,0,,0.0
22500286,2025-11-24,MIA,0.0,0.0,0,,0.0
22500287,2025-11-24,DEN,0.0,0.0,0,,0.0
22500287,2025-11-24,MEM,0.0,0.0,0,,0.0
22500288,2025-11-24,MIL,0.0,0.0,0,,0.0
22500288,2025-11-24,POR,0.0,0.0,0,,0.0
22500289,2025-11-24,CHI,0.0,0.0,0,,0.0
22500289,2025-11-24,NOP,0.0,0.0,0,,0.0
22500290,2025-11-24,HOU,0.0,0.0,0,,0.0
22500290,2025-11-24,PHX,0.0,0.0,0,,0.0
22500291,2025-11-24,GSW,0.0,0.0,0,,0.0
22500291,2025-11-24,UTA,0.0,0.0,0,,0.0
22500292,2025-11-24,MIN,0.0,0.0,0,,0.0
22500292,2025-11-24,SAC,0.0,0.0,0,,0.0
22500057,2025-11-25,ATL,0.0,0.0,0,,0.0
22500057,2025-11-25,WAS,0.0,0.0,0,,0.0
22500058,2025-11-25,ORL,0.0,0.0,0,,0.0
22500058,2025-11-25,PHI,0.0,0.0,0,,0.0
22500059,2025-11-25,LAC,0.0,0.0,0,,0.0
22500059,2025-11-25,LAL,0.0,0.0,0,,0.0
22500060,2025-11-26,BOS,0.0,0.0,0,,0.0
22500060,2025-11-26,DET,0.0,0.0,0,,0.0
22500061,2025-11-26,CHA,0.0,0.0,0,,0.0
22500061,2025-11-26,NYK,0.0,0.0,0,,0.0
22500062,2025-11-26,MIA,0.0,0.0,0,,0.0
22500062,2025-11-26,MIL,0.0,0.0,0,,0.0
22500063,2025-11-26,IND,0.0,0.0,0,,0.0
22500063,2025-11-26,TOR,0.0,0.0,0,,0.0
22500064,2025-11-26,MIN,0.0,0.0,0,,0.0
22500064,2025-11-26,OKC,0.0,0.0,0,,0.0
22500065,2025-11-26,MEM,0.0,0.0,0,,0.0
22500065,2025-11-26,NOP,0.0,0.0,0,,0.0
22500066,2025-11-26,GSW,0.0,0.0,0,,0.0
22500066,2025-11-26,HOU,0.0,0.0,0,,0.0
22500067,2025-11-26,POR,0.0,0.0,0,,0.0
22500067,2025-11-26,SAS,0.0,0.0,0,,0.0
22500068,2025-11-26,PHX,0.0,0.0,0,,0.0
22500068,2025-11-26,SAC,0.0,0.0,0,,0.0
22500069,2025-11-28,ATL,0.0,0.0,0,,0.0
22500069,2025-11-28,CLE,0.0,0.0,0,,0.0
22500070,2025-11-28,BKN,0.0,0.0,0,,0.0
22500070,2025-11-28,PHI,0.0,0.0,0,,0.0
22500071,2025-11-28,CHA,0.0,0.0,0,,0.0
22500071,2025-11-28,CHI,0.0,0.0,0,,0.0
22500072,2025-11-28,DET,0.0,0.0,0,,0.0
22500072,2025-11-28,ORL,0.0,0.0,0,,0.0
22500073,2025-11-28,IND,0.0,0.0,0,,0.0
22500073,2025-11-28,WAS,0.0,0.0,0,,0.0
22500074,2025-11-28,MIL,0.0,0.0,0,,0.0
22500074,2025-11-28,NYK,0.0,0.0,0,,0.0
22500075,2025-11-28,OKC,0.0,0.0,0,,0.0
22500075,2025-11-28,PHX,0.0,0.0,0,,0.0
22500076,2025-11-28,DEN,0.0,0.0,0,,0.0
22500076,2025-11-28,SAS,0.0,0.0,0,,0.0
22500077,2025-11-28,SAC,0.0,0.0,0,,0.0
22500077,2025-11-28,UTA,0.0,0.0,0,,0.0
22500078,2025-11-28,DAL,0.0,0.0,0,,0.0
22500078,2025-11-28,LAL,0.0,0.0,0,,0.0
22500079,2025-11-28,LAC,0.0,0.0,0,,0.0
22500079,2025-11-28,MEM,0.0,0.0,0,,0.0
